,Product ID,Category,Sub-Category,Product Name
0,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase
1,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
2,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal
3,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
4,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System
5,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
6,OFF-AR-10002833,Office Supplies,Art,Newell 322
7,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone
8,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
9,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge
10,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables
11,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black
12,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967
13,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine
14,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
15,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders
16,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
17,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer
18,OFF-AR-10003056,Office Supplies,Art,Newell 341
19,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone
20,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1"""
21,OFF-AR-10000246,Office Supplies,Art,Newell 318
22,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length"
23,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray"
24,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders
25,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive
26,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
27,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems
28,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
29,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes
30,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
31,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
32,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons
33,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper
34,TEC-PH-10004977,Technology,Phones,GE 30524EE4
35,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
36,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
37,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
